timestamp,open,high,low,close,volume
2018-12-13,3535.6,3547.1,3317.0,3354.3,76222373.04
2018-12-12,3435.28,3617.4,3415.0,3535.6,74265794.63
2018-12-11,3524.8,3551.5,3381.8,3435.28,83009693.7
2018-12-10,3642.3,3709.7,3475.8,3524.8,80447395.98
2018-12-09,3506.0,3789.0,3465.4,3642.3,90374332.83
2018-12-08,3460.0,3800.1,3316.1,3506.0,135760289.62
2018-12-07,3531.0,3630.0,3277.6,3460.0,254063711.27
2018-12-06,3772.9,3922.7,3503.0,3531.0,218131793.82
2018-12-05,3981.9,4000.77,3750.0,3772.9,109684430.8
2018-12-04,3901.2,4135.9,3785.5,3981.9,133977730.72
2018-12-03,4173.0,4189.8,3830.1,3901.2,146870203.29
2018-12-02,4241.3,4369.8,4113.0,4173.0,102941696.07
2018-12-01,4039.5,4340.0,3964.5,4241.3,114784731.92
2018-11-30,4321.9,4368.8,3950.0,4039.5,175006992.02
2018-11-29,4305.0,4488.0,4167.2,4321.9,177210733.13
2018-11-28,3882.7,4447.6,3882.7,4305.0,274474031.15
2018-11-27,3864.1,3959.41,3684.1,3882.7,176640255.63
2018-11-26,4089.1,4207.1,3695.5,3864.1,249616173.56
2018-11-25,3929.9,4233.2,3657.6,4089.1,321001983.62
2018-11-24,4422.7,4529.0,3819.4,3929.9,211732113.57
2018-11-23,4369.6,4495.0,4210.0,4422.7,157466977.66
2018-11-22,4662.7,4723.7,4342.1,4369.6,130579599.46
2018-11-21,4571.0,4787.3,4412.3,4662.7,203826727.05
2018-11-20,4920.7,5056.27,4303.5,4571.0,545927989.89
2018-11-19,5659.5,5659.5,4855.0,4920.7,387294753.82
2018-11-18,5628.3,5745.6,5620.9,5659.5,53930945.98
2018-11-17,5655.7,5661.1,5569.1,5628.3,44584273.75
2018-11-16,5749.6,5777.5,5530.92,5655.7,104666368.21
2018-11-15,5922.4,5940.0,5432.0,5749.6,281942127.83
2018-11-14,6459.07,6485.8,5678.0,5922.4,417150478.28
2018-11-13,6446.9,6501.1,6397.1,6459.07,65332208.83
2018-11-12,6447.9,6481.0,6418.8,6446.9,47163665.29
2018-11-11,6431.1,6459.9,6357.8,6447.9,47078299.92
2018-11-10,6418.7,6469.3,6414.4,6431.1,21031407.99
2018-11-09,6475.3,6504.4,6385.0,6418.7,67683873.09
2018-11-08,6572.9,6585.0,6460.0,6475.3,75669897.32
2018-11-07,6522.2,6615.0,6511.0,6572.9,70566536.11
2018-11-06,6470.2,6527.7,6447.4,6522.2,47915589.46
2018-11-05,6491.7,6500.6,6435.3,6470.2,31154083.0
2018-11-04,6389.1,6529.4,6357.9,6491.7,57994489.65
2018-11-03,6427.0,6432.4,6323.0,6389.1,72941495.74
2018-11-02,6406.1,6456.1,6389.9,6427.0,52435142.88
2018-11-01,6368.39,6443.9,6352.9,6406.1,58559193.75
2018-10-31,6330.1,6419.8,6242.1,6368.39,63103796.22
2018-10-30,6346.5,6383.6,6302.0,6330.1,68228331.12
2018-10-29,6490.1,6512.0,6320.8,6346.5,125198760.71
2018-10-28,6500.2,6513.88,6451.0,6490.1,44327184.62
2018-10-27,6531.5,6560.0,6476.9,6500.2,45388946.91
2018-10-26,6528.0,6597.4,6511.0,6531.5,48566430.72
2018-10-25,6554.1,6568.7,6462.9,6528.0,56951294.18
2018-10-24,6550.0,6626.3,6536.0,6554.1,56248255.79
2018-10-23,6567.3,6591.6,6525.3,6550.0,58150098.92
2018-10-22,6590.9,6627.9,6535.1,6567.3,39976390.53
2018-10-21,6586.7,6660.8,6581.2,6590.9,29304687.66
